sentence1	sentence2	class
어이	챗봇입니다 반갑습니다.	call
응답하라	네 듣고있어요 말씀하세요.	call
헤이	챗봇입니다. 말씀하세요.	call
하니	챗봇입니다 반갑습니다.	call
친구야	네 안녕하세요 반갑습니다.	call
계세요	네 듣고있어요 말씀하세요.	call
나와라	네 챗봇 대령했습니다.	call
자기야	안녕하세요 챗봇입니다.	call
계시나요	네 챗봇 여기 있어요.	call
챗봇아	안녕하세요 챗봇입니다.	call
허니	네 안녕하세요 반갑습니다.	call
듣고 있나요	네 챗봇 여기 있어요.	call
응답하라 챗봇챗봇	네. 고객님. 안녕하세요.	call
저기욤	네. 고객님. 안녕하세요.	call
요놈아	네. 부르셨나요.	call
이눔아	네. 고객님. 저 여기 있어요.	call
야 인마	챗봇입니다 반갑습니다.	call
토모다찌야	네. 고객님. 말씀하세요.	call
HEY	네 챗봇 여기 있어요.	call
친구얌	네. 부르셨나요.	call
친구야	네. 고객님. 저를 찾으셨나요?	call
들리나요	네. 고객님. 저를 찾으셨나요?	call
내 챗봇친구야	네 챗봇 여기 있어요.	call
대화 ㄱㄱ	여기 있어요. 고객님. 안녕하세요.	call
챗봇쓰	네 챗봇 여기 있어요.	call
호호이	여기 있어요. 고객님. 안녕하세요.	call
얘얘 나와봐	네. 고객님. 안녕하세요.	call
얘 듣고 있니?	네 챗봇 여기 있어요.	call
얘 있잖아	네. 고객님. 저 여기 있어요.	call
근데욤	네. 고객님. 저 여기 있어요.	call
챗봇챗봇아	네. 고객님. 저 여기 있어요.	call
저기 근데	네. 부르셨나요.	call
헤헤이	네 고객님. 저를 찾으셨나요?	call
저기여	네 안녕하세요 반갑습니다.	call
컴온요	안녕하세요. 고객님	call
커몬 베비	네. 고객님. 안녕하세요.	call
베이비	네. 고객님. 저 여기 있어요.	call
챗봇친구~	네 챗봇 여기 있어요.	call
저기	네. 고객님. 저 여기 있어요.	call
거기 나와봐	네. 고객님. 안녕하세요.	call
있잖아	네. 고객님. 말씀하세요.	call
거기 누구없소	여기 있어요. 고객님. 안녕하세요.	call
야 있잖아	네 챗봇 여기 있어요.	call
듣고 있니	네. 고객님. 저를 찾으셨나요?	call
들리니	네. 고객님. 안녕하세요.	call
이리와봐	네. 고객님. 저 여기 있어요.	call
이리와	네. 부르셨나요.	call
챗봇쨔응	네 챗봇 여기 있어요.	call
챗봇쨩	네. 고객님. 저를 찾으셨나요?	call
나와봥	네. 부르셨나요.	call
얀마	네 챗봇 여기 있어요.	call
여보세요	안녕하세요. 고객님.	call
나와봐	네. 고객님. 안녕하세요.	call
나와볼래?	네. 고객님. 저 여기 있어요.	call
챗봇님	안녕하세요 챗봇입니다.	call
얘 챗봇아	네 듣고있어요.	call
어이 챗봇	챗봇입니다 반갑습니다.	call
저기요	네 듣고있어요 말씀하세요.	call
챗봇나와라 오바	네 안녕하세요 반갑습니다.	call
커먼	챗봇입니다 반갑습니다.	call
컴온	안녕하세요 챗봇입니다.	call
나와라 오바	네 안녕하세요 반갑습니다.	call
응답바람	챗봇입니다 반갑습니다.	call
응답하라 오바	안녕하세요 챗봇입니다.	call
거기 있나요	네 듣고있어요 말씀하세요.	call
낰낰	네 챗봇 여기 있어요.	call
거기요	네. 부르셨나요.	call
계십니까	네. 여기 있어요.	call
요요요	네. 고객님. 저를 찾으셨나요?	call
야야	네. 저 여기 있어요.	call
나와바바	네. 고객님. 저 듣고 있어요.	call
이리오너라	네 챗봇 대령했습니다.	call
챗봇씨	네. 고객님. 저를 찾으셨나요?	call
얌마	네 듣고있어요.	call
챗봇양	네. 고객님. 저를 찾으셨나요?	call
저기요	네. 고객님. 저를 찾으셨나요?	call
챗봇군	여기 있어요. 고객님. 안녕하세요.	call
응답하셈	네. 고객님. 안녕하세요.	call
답변 부탁	네 챗봇 여기 있어요.	call
응답 부탁	네. 고객님. 안녕하세요.	call
저기 있잖아요	네. 고객님. 말씀하세요.	call
들리면 답해주세요	네. 고객님. 저를 찾으셨나요?	call
똑똑 계신가요	네. 고객님. 안녕하세요.	call
응답 플리즈	네. 고객님. 저 여기 있어요.	call
선생님	네. 고객님. 저를 찾으셨나요?	call
챗봇선생님	네 챗봇 여기 있어요.	call
응답해주세요	네. 고객님. 저를 찾으셨나요?	call
무쓸이네 너	아직은 부족한가 봐요. 더 노력할게요.	claim
뭐여 왜 없어	아직은 부족한가 봐요. 더 노력할게요.	claim
뭐하는구냐	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
뭔 챗봇이야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
뭔 헛소리야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
시간 아까워	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
성의도 없고	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
시간 아깝네	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
실망입니다	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
아는게뭐죠	아직은 부족한가 봐요. 더 노력할게요.	claim
아오 멍청해	아직은 부족한가 봐요. 더 노력할게요.	claim
아우 시끄러	원하시는 만큼 조용히 있을게요. 필요할 때 다시 불러주세요.	claim
사기치지마	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
무능력하네	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
말을 못 알아먹네	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
매우 불만족	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
기가 차네요	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
나 죠따 빡침	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
난리났구나	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
내가 우습냐	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
내가 호구냐	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
너무 엉터리야	죄송해요. 항상 더 노력하는 챗봇이 되기 위해 노력할게요.	claim
머가 없구나	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
귀차나	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
도움이 안돼	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
도움이 안됨	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
돈에 미쳤네	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
되게 별로네	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
똑똑하대메	아직은 부족한가 봐요. 더 노력할게요.	claim
말 못 알아듣네	아직은 부족한가 봐요. 더 노력할게요.	claim
답을 모르넹	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
안타깝네요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
언넝 배우자	네. 고객님께 더 도움이 될 수 있는 챗봇이 되기 위해 노력할게요.	claim
없다니ㅠㅜ	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
뭘 웃겨드려	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
뭘 배우는데	고객님께 더 도움이 되고자 세상의 다양한 지식을 배우고 있어요.	claim
멀 웃겨드려	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
멀 배우는데	고객님께 더 도움이 되고자 세상의 다양한 지식을 배우고 있어요.	claim
강요하지마	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
환장하것네	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
화나게 하네	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
화가 치밀어	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
헛소리하네	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
헉 너무해요	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
추천 좀 잘해	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
추천 별로임	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
찾는게 엄슴	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
진짜 짱난다	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
진짜 이상해	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
진짜 넘하네	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
지금 장난해	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
없어 여기에	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
열불 나네요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
왜 이따구로	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
왠 동문서답	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
이개 뭐냐구	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
이거 힘들다	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
알아먹어라	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
이게 끝이야	더 필요하신 부분이 있으신가요? 무엇이 궁금하신지 말씀해 주세요.	claim
이궁 답딥해	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
이러지 마 쫌	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
이해못하네	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
자꾸 이럴래	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
정말 엉터리	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
지금 없잖아	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
이게 무슨짓이야	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
왜 상담못해	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
개선이 많이 필요함	네. 고객님이 만족할 만한 대화를 하는 챗봇이 되도록 노력할게요.	claim
같은 말만 하네	그럴 의도는 없었어요. 기분이 상하셨다면 죄송해요.	claim
깡그리무시하고	죄송해요. 그럴 의도는 없었어요.	claim
공부 더 해야겟다	네. 고객님이 만족할 만한 대화를 하는 챗봇이 되도록 노력할게요.	claim
공부 더 하라니까	네. 고객님이 만족할 만한 대화를 하는 챗봇이 되도록 노력할게요.	claim
계속 모른다 할래	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
그걸 모르니	원하시는 바를 이뤄드리지 못해 죄송해요. 더 노력할게요.	claim
같은 말 하지 말고	원하시는 대답을 듣지 못하셨나요? 더 공부해서 다양한 대답을 하도록 노력할게요.	claim
같은 말만 하지마	죄송해요. 더 다양한 말을 할 수 있도록 해볼게요.	claim
가입이 힘드네요	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
이것밖에 못 해	계속해서 공부하고 있어요. 앞으로는 더 많은 도움을 드릴 수 있도록 노력할게요.	claim
회신 겁나느림	불편을 겪게 해드려 죄송해요. 더 빨리 답할 수 있게 노력할게요.	claim
내가 만만하냐고	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
화가 나는군요	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
태도도 안좋고	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
챗봇 쓸때없네	죄송해요. 고객님께 더 도움이 되는 챗봇이 되고자 노력할게요.	claim
챗봇 불편해요	불편을 겪게 해드려 죄송해요. 더 노력할게요.	claim
찿는개 없네요	원하시는 바를 찾지 못하셨나요? 다음에는 더 도움이 될 수 있게 노력할게요.	claim
진짜 욕나온다	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
진짜 성의없네	죄송해요. 더 공부해서 도움이 되는 챗봇이 되도록 노력할게요.	claim
진짜 너무하네	제가 고객님의 기분을 상하게 했다면 죄송해요.	claim
종류가 좀 아쉽네요	죄송해요. 부족한 부분을 채워나갈 수 있게 노력할게요.	claim
제대로 못하나	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
정말 난감해요	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
태도 진짜 엉망	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
적합하지 않다	원하시는 답을 얻지 못하셨나요? 더 노력해서 발전하는 챗봇이 될게요. 	claim
너랑 무슨 얘길하냐	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
너무 짜증나네요	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
불만사항입니다	불편하신 점이 있으셨나요? 금방 해결하도록 노력할게요.	claim
뭐 이리 말이 많아	원하시는 만큼 조용히 있을게요. 필요할 때 다시 불러주세요.	claim
뭐 이리 오래 결려	무슨 문제가 있나요? 금방 해결하도록 노력할게요.	claim
무슨 말 인지 몰라	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
목록이 너무 적음	죄송해요. 더 노력해서 고객님의 편의를 높일 수 있게 할게요.	claim
모르면 모른다 해	죄송해요. 더 공부해서 고객님의 마음에 들 수 있게 노력할게요.	claim
몇번을 말합니까	죄송해요. 다시 한번 구체적으로 말씀해 주시면 열심히 알아볼게요.	claim
맨날 그런 식이네	매일매일 달라지려고 노력하고 있어요. 고객님의 마음을 얻을 수 있게 더 노력할게요.	claim
말을 못 알아듣네	아직은 부족한가 봐요. 고객님의 믿음을 얻을 수 있게 더 노력할게요.	claim
말끼 못 알아듣네	아직은 부족한가 봐요. 더 노력할게요.	claim
너무 무성의하네	죄송해요. 고객님 기분을 상하게 할 의도는 없었어요.	claim
똑바로 상담 안 해	제가 고객님의 기분을 상하게 했나요? 고칠 수 있게 노력할게요.	claim
딥러닝되긴하니	네. 계속해서 공부하고 있어요.	claim
